slug site,nom FR site,fichier Drive,statut,perimetre,remarque
massive-adian-fumeuse,Geisha fumeuse,Sticker Adian fumeuse.png,match exact,mapping 270,
massive-alien-bizarre,Ventre ouvert,Sticker Alien bizarre.png,match exact,mapping 270,
massive-alien-bleu,Goinfre bleu,Sticker Alien bleu.png,match exact,mapping 270,
massive-alien-calote,Alien DJ,Sticker Alien Dj.psd,nom different,mapping 270,"site attend ""Sticker Alien calote.png"", Drive a ""Sticker Alien Dj.psd"" (PSD seulement)"
massive-alien-corps,Festin macabre,Sticker Alien corps.png,match exact,mapping 270,
massive-alien-hot,Alien hot-dog,Sticker Alien Hot.png,match exact,mapping 270,
massive-alien-splash,Alien écarlate,Sticker Alien splash.png,nom different,sync juillet,"site attend ""Sticker Alien écarlate"", Drive a ""Sticker Alien splash.png"""
massive-alien-vert,Bocal spatial,ABSENT,orphelin site sans source,mapping 270,"attendu ""Sticker Alien vert.png"" introuvable au Drive"
massive-animals,Volière folle,Sticker animals.png,match exact,mapping 270,
massive-animals-meeting,Meute vive,Sticker animals meeting.png,match exact,mapping 270,
massive-arcade,Borne arcade,Sticker Arcade.png,nom different,sync juillet,"site attend ""Sticker Borne arcade"", Drive a ""Sticker Arcade.png"""
massive-art-conceptuel,Ville fondue,Sticker art conceptuel.png,match exact,mapping 270,
massive-art-de-rue,Bulle graffiti,ABSENT,orphelin site sans source,mapping 270,"attendu ""Sticker Art de rue.png"" introuvable au Drive"
massive-art-de-rue-random,Chaos vinyle,Sticker Art de rue random.png,match exact,mapping 270,
massive-art-libre,Camion art,Sticker Art libre.png,match exact,mapping 270,
massive-art-puma,Requin urbain,Sticker Art Puma.png,match exact,mapping 270,
massive-arte-moderno,Jardin crâne,Sticker arte moderno.png,match exact,mapping 270,
massive-asian-beautiful-eyes,Chrysalide,Sticker asian beautiful eyes.png,match exact,mapping 270,
massive-asian-bird,Ombre ailée,Sticker Asian bird.png,match exact,mapping 270,
massive-asian-face,Masque brisé,Sticker Asian Face.png,match exact,mapping 270,
massive-asian-fils,Méduse rouge,Sticker Asian fils.png,match exact,mapping 270,
massive-asian-hat,Ronin errant,Sticker Asian hat.png,nom different,sync juillet,"site attend ""Sticker Ronin errant"", Drive a ""Sticker Asian hat.png"""
massive-asian-muerte,Hannya bleu,Sticker Asian muerte.png,match exact,mapping 270,
massive-asian-rouge-a-levre,Impératrice,Sticker asian rouge a levre.png,match exact,mapping 270,
massive-asian-sphynx,Sphynx yakuza,Sticker Asian Sphynx.png,nom different,sync juillet,"site attend ""Sticker Sphynx yakuza"", Drive a ""Sticker Asian Sphynx.png"""
massive-asian-totem,Totem encre,Sticker Asian totem.png,match exact,mapping 270,
massive-asian-tribal,Deuil fleuri,ABSENT,orphelin site sans source,mapping 270,"attendu ""Sticker Asian tribal.png"" introuvable au Drive"
massive-asian-vulve,Éclosion rose,Sticker Asian vulve.png,match exact,mapping 270,
massive-astro,Astro bisou,ABSENT,orphelin site sans source,mapping 270,"attendu ""Sticker Astro.png"" introuvable au Drive"
massive-astrodisco,Astro disco,Sticker Astrodisco.png,match exact,mapping 270,
massive-astronaute-spain,Marcheur lunaire,Sticker Astronaute spain.png,match exact,mapping 270,
massive-b-w-1,Labyrinthe,Sticker B&w 1.png,match exact,mapping 270,
massive-baby-ying,Double sagesse,Sticker Baby ying.png,match exact,mapping 270,
massive-basketball-man,Dunk zombie,Sticker Basketball man.png,match exact,mapping 270,
massive-beau-oiseau,Pie voleuse,Sticker Beau oiseau.png,match exact,mapping 270,
massive-biker,Biker fantôme,ABSENT,orphelin site sans source,mapping 270,"attendu ""Sticker Biker.png"" introuvable au Drive"
massive-billes,Gobelin billes,Sticker Billes.png,match exact,mapping 270,
massive-blue-4-head,Oracle bleue,Sticker Blue 4 head.png,match exact,mapping 270,
massive-blue-girl,Marguerites noires,Sticker Blue girl.png,nom different,sync juillet,"site attend ""Sticker Marguerites noires"", Drive a ""Sticker Blue girl.png"""
massive-blue-guy,Face électrique,Sticker Blue Guy.png,match exact,mapping 270,
massive-bohemian,Bohème,Sticker Boheme.psd,nom different,mapping 270,"site attend ""Sticker Bohemian.png"", Drive a ""Sticker Boheme.psd"" (PSD seulement)"
massive-bois-diplo,Diplo forestier,ABSENT,orphelin site sans source,mapping 270,"attendu ""Sticker Bois diplo.png"" introuvable au Drive"
massive-bonet,Pingouin tuque,Sticker Bonet.png,match exact,mapping 270,
massive-boom1,Canard slush,Sticker Boom1.png,match exact,mapping 270,
massive-born-to-kill,Soldat maudit,Sticker Soldat maudit.psd,nom different,mapping 270,"site attend ""Sticker Born to kill.png"", Drive a ""Sticker Soldat maudit.psd"" (PSD seulement)"
massive-bouche-langue,Langue folle,Sticker Bouche langue.png,match exact,mapping 270,
massive-bruh,Bruh boombox,Sticker Bruh.png,nom different,sync juillet,"site attend ""Sticker Bruh boombox"", Drive a ""Sticker Bruh.png"""
massive-buff-monster,Tas de monstres,Sticker Buff monster.png,nom different,sync juillet,"site attend ""Sticker Tas de monstres"", Drive a ""Sticker Buff monster.png"""
massive-cacane,Bombe aérosol,Sticker Cacane.png,match exact,mapping 270,
massive-cake,Gâteau fraise,Sticker Cake.png,nom different,sync juillet,"site attend ""Sticker Gâteau fraise"", Drive a ""Sticker Cake.png"""
massive-cameleon-chimie,Caméléon chimiste,Sticker Cameleon chimie.png,nom different,sync juillet,"site attend ""Sticker Caméléon chimiste"", Drive a ""Sticker Cameleon chimie.png"""
massive-canar-pleure,Canard triste,Sticker Canar pleure.png,match exact,mapping 270,
massive-canardos,Cane chic,Sticker canardos.png,match exact,mapping 270,
massive-casque-ouvert,Troisième œil,Sticker Casque ouvert.png,match exact,mapping 270,
massive-cervo-robot,Cerveau bocal,Sticker Cervo robot.png,match exact,mapping 270,
massive-chame,Scooter lézard,Sticker Chamé.png,match exact,mapping 270,
